"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","32","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","26.362076","0","28"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","39","39","3","52.298931","0","55"
"/OpenXR/Devices/M_XRController.M_XRController","24","90","70","3","123.097862","0","181"
"Globals","24","777","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","2.553767","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","3.629721","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","34.469788","0","385"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.329823","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.432645","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.406347","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","15","4","1","18.101778","0","48"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","30","2","1","41.255737","0","141"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","2.221166","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","2.317933","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","3","1","70.248672","0","167"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","10","1","177.906799","0","831"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","3.658046","0","7"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","195","10","1","176.855896","0","2243"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","75","1","1","456.165222","0","549"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","9","1","1067.201172","0","3219"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","4","4","1","4.286196","0","4"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","2.956347","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.935004","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","60","7","1","105.575333","0","169"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.868480","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.738866","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","15","1","24.309860","0","24"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","2.123307","0","2"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","51","51","1","79.890015","0","51"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","10","1","18.668674","0","10"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","10","1","10.586889","0","10"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","3.018116","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","77","1","98.446487","0","77"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","635","635","1","829.632935","0","635"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","2","1","27.711943","0","56"
"/Engine/Functions/Engine_MaterialFunctions02/ExampleContent/PivotPainter2/SimplePivotPainterExampleMat.SimplePivotPainterExampleMat","24","102","6","2","66.496101","0","513"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","24","32","5","2","12.332759","0","110"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","4","1","3.098824","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","2.894131","0","4"
"/Game/VFXSeries1/Materials/Lightning/M_LightningRing01.M_LightningRing01","24","12","12","1","12.890307","0","15"
"/Game/VFXSeries1/Materials/Energy/M_Healthfresnel.M_Healthfresnel","24","20","9","1","23.754137","0","59"
"/Game/VFXSeries1/Materials/Energy/M_GreenSparks.M_GreenSparks","24","10","10","1","9.666412","0","19"
"/Game/Particles/Materials/M_Burst.M_Burst","24","48","7","1","52.970104","0","224"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","135","1","1","4110.178711","0","1301"
"/Game/Backend/TestLevel/Default2SpriteMaterial.Default2SpriteMaterial","24","19","1","1","1424.238525","0","48"
"/Game/GameMaterials/SpriteMaterials/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","24","22","10","1","25.899708","0","57"
"/Game/GameMaterials/IceBalls/MasterMaterial.MasterMaterial","24","105","2","1","160.532440","105","1861"
"/Game/VFXSeries1/Materials/Energy/Shield/M_DepthShield.M_DepthShield","24","8","8","1","8.292638","0","14"
"/Game/VFXSeries1/Materials/Lightning/M_Lightning02.M_Lightning02","24","10","10","1","9.668071","0","14"
"/Game/VFXSeries1/Materials/Lightning/M_Lightning01.M_Lightning01","24","10","10","1","9.270910","0","16"
"/Game/VFXSeries1/Materials/LensFlare/M_Lensflare_02.M_Lensflare_02","24","10","10","1","8.684235","0","16"
"/Game/VFXSeries1/Materials/Energy/M_InnerGlow2.M_InnerGlow2","24","40","6","1","46.879261","0","146"
"/Game/Particles/Materials/M_SparksBlue.M_SparksBlue","24","10","10","1","9.428928","0","16"
"/Game/Particles/Materials/M_SmokeParticle.M_SmokeParticle","24","40","4","1","47.399582","0","140"
"/Game/Particles/Materials/M_Plasmaclouds3.M_Plasmaclouds3","24","30","6","1","37.519543","0","102"
"/Game/Particles/Materials/m_flare_03.m_flare_03","24","6","6","1","5.199615","0","8"
"/Game/Particles/Materials/M_Flare.M_Flare","24","8","8","1","7.963502","0","8"
"/Game/Particles/Materials/M_FireParticle_02.M_FireParticle_02","24","8","8","1","7.421837","0","8"
"/Game/Particles/Materials/M_FireBlueParticle.M_FireBlueParticle","24","8","8","1","7.964167","0","14"
"/Game/ImagesAssets/LevelWidgetAssets/Default2SpriteMaterial_2.Default2SpriteMaterial_2","24","19","5","1","19.726244","0","53"
"/Game/VFXSeries1/Materials/LensFlare/M_LensFlare02.M_LensFlare02","24","10","10","1","11.119324","0","15"
"/Game/VFXSeries1/Materials/Energy/M_PlasmaTrailHeat.M_PlasmaTrailHeat","24","10","10","1","9.916459","0","15"
"/Game/GameMaterials/M_Balls/Crystal/MasterMaterial.MasterMaterial","24","93","9","1","133.684235","93","1513"
"/Game/GameMaterials/FakeFog/M_FakeFog.M_FakeFog","24","50","8","1","66.178482","0","259"
"/Engine/EditorMaterials/WidgetMaterial_Y.WidgetMaterial_Y","24","2","2","1","1.737887","0","2"
"/Engine/EditorMaterials/WidgetMaterial_X.WidgetMaterial_X","24","2","2","1","1.841802","0","2"
"/Game/Particles/Materials/M_LightningX01.M_LightningX01","24","60","2","1","71.730385","0","278"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.414468","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.357105","0","2"
"/Game/VFXSeries1/Materials/M_Plasmaclouds.M_Plasmaclouds","24","6","6","1","5.835553","0","8"
"/Game/VFXSeries1/Materials/ParentMaterials/M_Sparks.M_Sparks","24","6","6","1","4.937816","0","6"
"/Game/VFXSeries1/Materials/Energy/M_smoke_subUV.M_smoke_subUV","24","30","2","1","38.542118","0","92"
"/Game/VFXSeries1/Materials/Energy/M_RadialGradient.M_RadialGradient","24","8","8","1","7.255689","0","14"
"/Game/VFXSeries1/Materials/M_muzzle_flash_subUV.M_muzzle_flash_subUV","24","6","6","1","5.859871","0","8"
"/Game/VFXSeries1/Materials/Lightning/M_PortalTear02.M_PortalTear02","24","45","7","1","36.178543","0","171"
"/Game/VFXSeries1/Materials/Energy/Plasma/Wormhole/M_WormholeRed.M_WormholeRed","24","40","7","1","52.593143","0","140"
